date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:20:12	18021/18021	---M--	200	added ('OK')	image/jpeg	date:Fri,%2006%20Sep%202019%2019:11:06%20GMT	https://bookwritingfounders.com/assets/images/img-13.jpg	C:/My%20Web%20Sites/bookwritingfounders/bookwritingfounders.com/assets/images/img-13.jpg	(from https://bookwritingfounders.com/)
13:20:13	5077/5077	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2028%20Feb%202020%2021:24:50%20GMT	https://bookwritingfounders.com/assets/images/services/article-writing-&-publication.svg	C:/My%20Web%20Sites/bookwritingfounders/bookwritingfounders.com/assets/images/services/article-writing-&-publication.svg	(from https://bookwritingfounders.com/)
13:20:13	3111/3111	---M--	200	added ('OK')	image/png	date:Fri,%2006%20Sep%202019%2019:11:06%20GMT	https://bookwritingfounders.com/assets/images/50percent.png	C:/My%20Web%20Sites/bookwritingfounders/bookwritingfounders.com/assets/images/50percent.png	(from https://bookwritingfounders.com/)
13:20:14	41707/41707	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20Mar%202020%2017:23:57%20GMT	https://bookwritingfounders.com/assets/images/books/1.jpg	C:/My%20Web%20Sites/bookwritingfounders/bookwritingfounders.com/assets/images/books/1.jpg	(from https://bookwritingfounders.com/)
13:20:14	112216/112216	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20Mar%202020%2017:23:58%20GMT	https://bookwritingfounders.com/assets/images/books/4.jpg	C:/My%20Web%20Sites/bookwritingfounders/bookwritingfounders.com/assets/images/books/4.jpg	(from https://bookwritingfounders.com/)
13:20:14	60390/60390	---M--	200	added ('OK')	image/jpeg	date:Thu,%2001%20Aug%202019%2001:36:00%20GMT	https://bookwritingfounders.com/assets/images/books/5.jpg	C:/My%20Web%20Sites/bookwritingfounders/bookwritingfounders.com/assets/images/books/5.jpg	(from https://bookwritingfounders.com/)
13:20:15	140930/140930	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20Mar%202020%2017:23:58%20GMT	https://bookwritingfounders.com/assets/images/books/6.jpg	C:/My%20Web%20Sites/bookwritingfounders/bookwritingfounders.com/assets/images/books/6.jpg	(from https://bookwritingfounders.com/)
13:20:15	59457/59457	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20Mar%202020%2017:23:58%20GMT	https://bookwritingfounders.com/assets/images/books/7.jpg	C:/My%20Web%20Sites/bookwritingfounders/bookwritingfounders.com/assets/images/books/7.jpg	(from https://bookwritingfounders.com/)
13:20:15	66069/66069	---M--	200	added ('OK')	image/jpeg	date:Thu,%2001%20Aug%202019%2001:36:00%20GMT	https://bookwritingfounders.com/assets/images/books/8.jpg	C:/My%20Web%20Sites/bookwritingfounders/bookwritingfounders.com/assets/images/books/8.jpg	(from https://bookwritingfounders.com/)
13:20:16	75121/75121	---M--	200	added ('OK')	image/jpeg	date:Thu,%2001%20Aug%202019%2001:36:00%20GMT	https://bookwritingfounders.com/assets/images/books/9.jpg	C:/My%20Web%20Sites/bookwritingfounders/bookwritingfounders.com/assets/images/books/9.jpg	(from https://bookwritingfounders.com/)
